bodyPart,equipment,gifUrl,id,name,target
waist,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/RNT5xjD53myoDo,0001,3/4 sit-up,abs
waist,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/g33nkVruUP8VtV,0002,45° side bend,abs
waist,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/dnE1cvgIn6cH1H,0003,air bike,abs
upper legs,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/EKnIaSxr8rOKd-,1512,all fours squad stretch,quads
waist,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/LlnR=Dha0JjeBB,0006,alternate heel touchers,abs
back,cable,https://edbv2-ff7foj6vca-uc.a.run.app/image/gQqLnS4BWk7OaF,0007,alternate lateral pulldown,lats
lower legs,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/HsyrAt9C32fjCL,1368,ankle circles,calves
back,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/UbZ5GPnEceCS-0,3293,archer pull up,lats
chest,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/AU7vm+Mqddijgq,3294,archer push up,pectorals
waist,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/mEfgFWicN=YAq3,2355,arm slingers hanging bent knee legs,abs
waist,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/IKAeQbz-4muCUa,2333,arm slingers hanging straight legs,abs
upper legs,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/+rWrZ4wI7cUGoB,3214,arms apart circular toe touch (male),glutes
waist,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/fVF1PB3zQ+AvE3,3204,arms overhead full sit-up (male),abs
chest,leverage machine,https://edbv2-ff7foj6vca-uc.a.run.app/image/IvcMYxqU1o3h5Z,0009,assisted chest dip (kneeling),pectorals
waist,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/-H_EfKV97GSmcW,0011,assisted hanging knee raise,abs
waist,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/hL6Eyqg7N7dIYr,0010,assisted hanging knee raise with throw down,abs
lower legs,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/VwIqeydxMRHbU2,1708,assisted lying calves stretch,calves
upper legs,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/Msk1mOtkse6zJY,1709,assisted lying glutes stretch,glutes
upper legs,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/G9zPQ=Af23b3yF,1710,assisted lying gluteus and piriformis stretch,glutes
waist,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/bvo-x0Jf8zMjGS,0012,assisted lying leg raise with lateral throw down,abs
waist,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/IXW5NRe03w4Qit,0013,assisted lying leg raise with throw down,abs
waist,medicine ball,https://edbv2-ff7foj6vca-uc.a.run.app/image/ZyVrFSg2PkMrHv,0014,assisted motion russian twist,abs
back,leverage machine,https://edbv2-ff7foj6vca-uc.a.run.app/image/eKw3ttP2QH_R7n,0015,assisted parallel close grip pull-up,lats
upper legs,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/aXq6pX0KT2pOIs,0016,assisted prone hamstring,hamstrings
upper legs,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/cwhLo6fXGu5WV=,1713,assisted prone lying quads stretch,quads
waist,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/TT69ouQrAHNf22,1714,assisted prone rectus femoris stretch,abs
back,leverage machine,https://edbv2-ff7foj6vca-uc.a.run.app/image/WGKHJSqPrrvPVi,0017,assisted pull-up,lats
chest,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/W8IrgrVYj3Ta1P,1716,assisted seated pectoralis major stretch with stability ball,pectorals
upper legs,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/jaSbcifOaMKh+e,1712,assisted side lying adductor stretch,adductors
waist,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/M=qdiO63D8W4dq,1758,assisted sit-up,abs
back,leverage machine,https://edbv2-ff7foj6vca-uc.a.run.app/image/Lls7YxJpJzZ+PO,1431,assisted standing chin-up,lats
back,leverage machine,https://edbv2-ff7foj6vca-uc.a.run.app/image/H_6MoqPyY0xRbX,1432,assisted standing pull-up,lats
upper arms,assisted,https://edbv2-ff7foj6vca-uc.a.run.app/image/NCuseG_1oPT9XG,0018,assisted standing triceps extension (with towel),triceps
upper arms,leverage machine,https://edbv2-ff7foj6vca-uc.a.run.app/image/J2_oh30gd4dxoU,0019,assisted triceps dip (kneeling),triceps
chest,leverage machine,https://edbv2-ff7foj6vca-uc.a.run.app/image/U7r6WBY-TNAPkU,2364,assisted wide-grip chest dip (kneeling),pectorals
cardio,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/igJvDtf0YXIgv0,3220,astride jumps (male),cardiovascular system
cardio,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/yQUL0yyQ5veGPL,3672,back and forth step,cardiovascular system
back,stability ball,https://edbv2-ff7foj6vca-uc.a.run.app/image/vCPs1DkD0BjviD,1314,back extension on exercise ball,spine
back,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/yUN06LIWiMLL8O,3297,back lever,upper back
back,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/3JoY-IBka0-jHl,1405,back pec stretch,lats
upper legs,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/vq3=fClLti2J6M,1473,backward jump,quads
upper legs,body weight,https://edbv2-ff7foj6vca-uc.a.run.app/image/H8G3OWlSRpJCKg,0020,balance board,quads
upper arms,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/mTAdOLEY848zi4,0968,band alternating biceps curl,biceps
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/LhxpFABhBjQRyz,0969,band alternating v-up,abs
back,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/46kqIBsJF9nrNT,0970,band assisted pull-up,lats
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/=NYnusz-E5Tg3n,0971,band assisted wheel rollerout,abs
chest,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/r4QDeRZJlyyPlq,1254,band bench press,pectorals
upper legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/yDsMxxbBA1sl0U,0980,band bent-over hip extension,glutes
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/Ty0AYLdeztROtA,0972,band bicycle crunch,abs
back,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/XcvRMd5Ww9GlkA,0974,band close-grip pulldown,lats
upper arms,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/4K-iJwK5MeGsHe,0975,band close-grip push-up,triceps
upper arms,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/1xNKokbtFF2ZRv,0976,band concentration curl,biceps
back,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/fMTNXPeLI4DKkV,3117,band fixed back close grip pulldown,lats
back,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/7hhwA7BUmZusUn,3116,band fixed back underhand pulldown,lats
shoulders,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/s8JwOD-MGNilh5,0977,band front lateral raise,delts
shoulders,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/pyL5H-vK_mBKUB,0978,band front raise,delts
upper legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/SCgS-Hwdl=iTr6,1408,band hip lift,glutes
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/8nrp3XkcxJ+jd3,0979,band horizontal pallof press,abs
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/q_UPEo6ds0mo0t,0981,band jack knife sit-up,abs
back,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/ON8qPZtd+=LlbJ,0983,band kneeling one arm pulldown,lats
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/XNH39nwEspa377,0985,band kneeling twisting crunch,abs
upper legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/i7prMnn7O4b31m,0984,band lying hip internal rotation,glutes
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/9AbO_mKZgIPi9e,1002,band lying straight leg raise,abs
upper arms,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/x82c2YHdA7GCjl,0986,band one arm overhead biceps curl,biceps
upper legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/swKFGgZu4221s7,0987,band one arm single leg split squat,quads
back,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/BZAPE0++km9oZc,0988,band one arm standing low row,upper back
chest,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/5hfq6lqTCcRK_q,0989,band one arm twisting chest press,pectorals
back,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/jpgzX9CaRw_eI9,0990,band one arm twisting seated row,upper back
upper legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/zkH4YQoRHhUVj7,0991,band pull through,glutes
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/58ZN=dNBTmveFR,0992,band push sit-up,abs
shoulders,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/5Gs+=LR0RV9MTg,0993,band reverse fly,delts
lower arms,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/EFi_QeO2JQp43f,0994,band reverse wrist curl,forearms
upper legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/xm-Vrg0t8I5gwE,0996,band seated hip internal rotation,glutes
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/uEj5Uf3YGdlOwy,1011,band seated twist,abs
shoulders,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/8u5eDRjnoPQye-,0997,band shoulder press,delts
back,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/RZfDpUc+teS7h8,1018,band shrug,traps
upper arms,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/1rXQho-PgPU4S+,0998,band side triceps extension,triceps
lower legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/u=g5O=KY9g+AfD,0999,band single leg calf raise,calves
lower legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/M9O3Ezi2a1W-_7,1000,band single leg reverse calf raise,calves
upper legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/LecZoSI3HLFYTE,1001,band single leg split squat,quads
upper legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/QJbdZP7vdys1G0,1004,band squat,glutes
upper legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/LV9c-blGP7M+9F,1003,band squat row,glutes
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/o9RrhvqCNlN97W,1005,band standing crunch,abs
shoulders,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/duTa1ilt4qPww5,1022,band standing rear delt row,delts
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/xjWqK60ecLOipB,1007,band standing twisting crunch,abs
upper legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/PEGXwbc_IHLLSn,1008,band step-up,glutes
upper legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/Bwnn-GXuduvJLI,1009,band stiff leg deadlift,glutes
upper legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/AOIsBqRbzhLZZK,1023,band straight back stiff leg deadlift,glutes
back,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/BDz4Jlk90jYpZl,1010,band straight leg deadlift,spine
shoulders,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/frub3927-BcTFI,1012,band twisting overhead press,delts
lower legs,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/DC3tlNdyCbm6hH,1369,band two legs calf raise - (band under both legs) v. 2,calves
back,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/6kzY_CLxAbNxMj,1013,band underhand pulldown,lats
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/iuXZ2Ahi=GQ=Lp,1014,band v-up,abs
waist,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/iavAWs1HGioK+Y,1015,band vertical pallof press,abs
lower arms,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/+VdU-GZfQRMKxI,1016,band wrist curl,forearms
shoulders,band,https://edbv2-ff7foj6vca-uc.a.run.app/image/KTILPjDorwmq1T,1017,band y-raise,delts
